tracking_id,customer_id,job_id,sample_id,system_name,site,station,sample_date,receive_date,calculation_type,level_,replicate_,depth,fraction,biovolume,taxa_level,report_note,taxa_id,custom_taxa_id,organism,habitat,phylum,division,class_,subclass_,order_,suborder,family,subfamily,tribe,genus,subgenus,species,subspecies,variety,form_,morph,coloniality,structure_,customer_requested_units,concentration_natural_units_per_ml_,relative_concentration,total_area_square_um_per_ml_,relative_total_area,total_volume_cubic_um_per_ml_,relative_total_volume,total_biovolume_cubic_um_per_ml_,relative_total_biovolume,total_biomass_per_ml_,relative_total_biomass,algal_cell_concentration_per_ml_,relative_algal_cell_concentration,algal_biomass_concentration_mg_per_l_,relative_algal_biomass_concentration,alternate_taxa_name,job_tally_notes
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4321,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Synechococcus,,elongatus,,,,,Cell-Nonmotile,Vegetative,NU/ml,76223.1405,0.95448123,1289558.336,0.33742162,478925.2364,0.04000426,478925.2364,0.2470488,0,0,76223.1405,0.68552747,0.47892524,0.2470488,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,6033,.,Algae,Freshwater,,Pyrrhophyta,Dinophyceae,,Gymnodinales,,Gymnodiniaceae,,,Gymnodinium,,sp. 2,,,,,Cell-Motile,Vegetative,NU/ml,31.7596,0.0003977,5299.2741,0.00138659,5321.3788,0.00044449,5321.3788,0.00274498,0,0,31.7596,0.00028564,0.00532138,0.00274498,,
200035-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/8/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,7140,.,Algae,Freshwater,,Miscellaneous,,,,,,,,,,,,,,Microflagellate,Cell-Motile,Vegetative,NU/ml,63.5193,0.0007954,1780.0326,0.00046576,886.0495,0.00007401,886.0495,0.00045706,0,0,63.5193,0.00057127,0.00088605,0.00045706,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1652,.,Algae,Freshwater,,Chrysophyta,Chrysophyceae,,,,,,,,,,,,,,Cell-Motile,Vegetative,NU/ml,2202.0018,0.02043441,94604.1645,0.01609225,88894.5939,0.00250875,88894.5939,0.29438168,0,0,2202.0018,0.01570568,0.08889459,0.29438165,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1731,.,Algae,Freshwater,,Haptophyta,Prymnesiophyceae,,Prymnesiales,,Chromulinaceae,,,Chrysochromulina,,parva,,,,,Cell-Motile,Vegetative,NU/ml,28.2308,0.00026198,1325.8451,0.00022553,853.7867,0.0000241,853.7867,0.00282738,0,0,28.2308,0.00020135,0.00085379,0.00282739,cf Erkenia subaequiciliata,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2080,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlamydomonas,,,,,,,Cell-Motile,Vegetative,NU/ml,225.8463,0.00209584,15000.6463,0.00255162,11529.659,0.00032539,11529.659,0.0381814,0,0,225.8463,0.00161084,0.01152966,0.03818141,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2211,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Dictyosphaeriaceae,,,Mucidosphaerium,,pulchellum,,,,,Colonial-Nonmotile,Vegetative,NU/ml,28.2308,0.00026198,1400.1711,0.00023817,463.5976,0.00001308,463.5976,0.00153524,0,0,112.9232,0.00080542,0.0004636,0.00153525,Dictyosphaerium pulchellum,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2683,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Chlorococcaceae,,,,,,,,,2-9.9 um spherical,Cell-Nonmotile,Vegetative,NU/ml,141.154,0.0013099,11795.7286,0.00200646,16363.245,0.0004618,16363.245,0.05418822,0,0,141.154,0.00100677,0.01636325,0.05418823,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,3015,.,Algae,Freshwater,,Cryptophyta,Cryptophyceae,,Cryptomonadales,,Cryptomonadaceae,,,Cryptomonas,,erosa,,,,,Cell-Motile,Vegetative,NU/ml,2.5563,0.00002372,4500.3999,0.00076552,13877.3106,0.00039164,13877.3106,0.04595584,0,0,2.5563,0.00001823,0.01387731,0.04595584,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,3043,.,Algae,Freshwater,,Cryptophyta,Cryptophyceae,,Cryptomonadales,,Cryptomonadaceae,,,Rhodomonas,,minuta,,nannoplanctica,,,Cell-Motile,Vegetative,NU/ml,56.4616,0.00052396,2483.3104,0.00042241,1892.0447,0.0000534,1892.0447,0.00626566,0,0,56.4616,0.00040271,0.00189204,0.00626564,Rhodomonas lacustris,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4051,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanocapsa,,elachista,,,,,Colonial-Nonmotile,Vegetative,NU/ml,1101.0009,0.01021721,5121185.322,0.87111807,34988761.14,0.98743819,56855.5773,0.18828187,0,0,32173.669,0.22947725,0.05685558,0.18828187,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4062,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanothece,,nidulans,,,,,Colonial-Nonmotile,Vegetative,NU/ml,56.4616,0.00052396,62618.4504,0.01065145,200944.7334,0.00567098,946.0252,0.00313284,0,0,903.3854,0.00644336,0.00094603,0.00313286,Aphanothece smithii,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4321,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Synechococcus,,elongatus,,,,,Cell-Nonmotile,Vegetative,NU/ml,103748.1635,0.96277517,557086.1385,0.09476084,108645.0768,0.00306614,108645.0768,0.35978701,0,0,103748.1635,0.73997912,0.10864508,0.35978701,,
200036-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,2/16/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4460,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Nostocales,,Nostocaceae,,,Pseudanabaena,,,,,,,Filament,Vegetative,NU/ml,169.3848,0.00157188,6864.5713,0.00116767,1649.6212,0.00004655,1649.6212,0.00546285,0,0,609.7851,0.00434926,0.00164962,0.00546285,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1652,.,Algae,Freshwater,,Chrysophyta,Chrysophyceae,,,,,,,,,,,,,,Cell-Motile,Vegetative,NU/ml,3917.0225,0.12507941,171454.7337,0.07342573,114127.5426,0.01013623,114127.5426,0.25316146,0,0,3917.0225,0.08553686,0.11412754,0.25316146,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2021,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Scenedesmaceae,,,Actinastrum,,hantzschii,,,,,Cell-Nonmotile,Vegetative,NU/ml,21.1731,0.00067611,4789.2418,0.002051,3831.3922,0.00034028,3831.3922,0.00849892,0,0,42.3462,0.00092472,0.00383139,0.00849892,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2080,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlamydomonas,,,,,,,Cell-Motile,Vegetative,NU/ml,84.6924,0.00270442,8762.7223,0.00375265,8845.0433,0.00078557,8845.0433,0.01962037,0,0,84.6924,0.00184945,0.00884504,0.01962036,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2110,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlorogonium,,,,,,,Cell-Nonmotile,Vegetative,NU/ml,21.1731,0.00067611,80032.0722,0.03427385,252233.3671,0.02240209,252233.3671,0.55951233,0,0,21.1731,0.00046236,0.25223337,0.55951235,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,3015,.,Algae,Freshwater,,Cryptophyta,Cryptophyceae,,Cryptomonadales,,Cryptomonadaceae,,,Cryptomonas,,erosa,,,,,Cell-Motile,Vegetative,NU/ml,1.2781,0.00004081,2720.5053,0.00116506,9936.8397,0.00088254,9936.8397,0.02204222,0,0,1.2781,0.00002791,0.00993684,0.02204222,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4051,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanocapsa,,elachista,,,,,Colonial-Nonmotile,Vegetative,NU/ml,825.7507,0.02636809,1891821.912,0.8101754,10835187.5,0.96232661,26630.79,0.05907329,0,0,15069.9501,0.32908572,0.02663079,0.05907329,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4321,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Synechococcus,,elongatus,,,,,Cell-Nonmotile,Vegetative,NU/ml,26360.5028,0.84175063,172569.0313,0.07390293,34505.8981,0.00306464,34505.8981,0.07654212,0,0,26360.5028,0.57563993,0.0345059,0.07654212,,
200038-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,3/9/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4460,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Nostocales,,Nostocaceae,,,Pseudanabaena,,,,,,,Filament,Vegetative,NU/ml,84.6924,0.00270442,2926.7569,0.00125339,698.4326,0.00006203,698.4326,0.00154929,0,0,296.4233,0.00647306,0.00069843,0.00154928,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1000538,.,Algae,Freshwater,,Chlorophyta,Prasinophyceae,,Prasinocladales,,Pedinomonadaceae,,,Monomastix,,minuta,,,,,Cell-Motile,Vegetative,NU/ml,56.4616,0.00106045,2015.9948,0.00070507,798.2087,0.00013364,798.2087,0.00018014,0,0,56.4616,0.00099057,0.00079821,0.00018014,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1332,.,Algae,Freshwater,,Bacillariophyta,Fragilariophyceae,,Tabellariales,,Tabellariaceae,,,Tabellaria,,flocculosa,,,,,Complex-Filament,Vegetative,NU/ml,56.4616,0.00106045,158544.1322,0.05544897,300827.3278,0.05036472,300827.3278,0.0678916,0,0,56.4616,0.00099057,0.30082733,0.0678916,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1652,.,Algae,Freshwater,,Chrysophyta,Chrysophyceae,,,,,,,,,,,,,,Cell-Motile,Vegetative,NU/ml,3557.0799,0.06680806,213287.8458,0.07459494,158832.8655,0.02659191,158832.8655,0.03584587,0,0,3557.0799,0.06240567,0.15883287,0.03584587,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1653,.,Algae,Freshwater,,Chrysophyta,Chrysophyceae,,,,,,,,,,,,,,Cell-Nonmotile,Cyst,NU/ml,84.6924,0.00159067,29756.6671,0.01040705,53090.8063,0.0088885,53090.8063,0.01198169,0,0,84.6924,0.00148585,0.05309081,0.01198169,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2080,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlamydomonas,,,,,,,Cell-Motile,Vegetative,NU/ml,282.3079,0.00530223,45005.7275,0.01574023,62006.7343,0.01038121,62006.7343,0.01399386,0,0,282.3079,0.00495283,0.06200673,0.01399386,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2110,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlorogonium,,,,,,,Cell-Nonmotile,Vegetative,NU/ml,734.0006,0.01378579,1453428.45,0.5083197,3312579.554,0.55459434,3312579.554,0.74759271,0,0,734.0006,0.01287736,3.31257955,0.7475927,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2491,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Chlorococcaceae,,,Schroederia,,judayi,,,,,Cell-Nonmotile,Vegetative,NU/ml,112.9232,0.00212089,6208.2788,0.00217127,2483.3047,0.00041576,2483.3047,0.00056044,0,0,112.9232,0.00198113,0.0024833,0.00056044,Ankyra judayi,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2590,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Ulotrichles,,Ulotrichaceae,,,Ulothrix,,,,,,,Filament,Vegetative,NU/ml,28.2308,0.00053022,181813.7838,0.06358726,443448.2569,0.07424241,443448.2569,0.10007871,0,0,376.4096,0.00660376,0.44344826,0.10007871,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,3015,.,Algae,Freshwater,,Cryptophyta,Cryptophyceae,,Cryptomonadales,,Cryptomonadaceae,,,Cryptomonas,,erosa,,,,,Cell-Motile,Vegetative,NU/ml,56.4616,0.00106045,9420.9317,0.00329486,9460.229,0.00158384,9460.229,0.00213501,0,0,56.4616,0.00099057,0.00946023,0.00213501,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,3043,.,Algae,Freshwater,,Cryptophyta,Cryptophyceae,,Cryptomonadales,,Cryptomonadaceae,,,Rhodomonas,,minuta,,nannoplanctica,,,Cell-Motile,Vegetative,NU/ml,28.2308,0.00053022,1241.6552,0.00043425,946.0223,0.00015838,946.0223,0.0002135,0,0,28.2308,0.00049528,0.00094602,0.0002135,Rhodomonas lacustris,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4051,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanocapsa,,elachista,,,,,Colonial-Nonmotile,Vegetative,NU/ml,56.4616,0.00106045,158690.859,0.05550028,768643.6456,0.12868685,2594.1727,0.00058546,0,0,1468.0012,0.02575472,0.00259417,0.00058546,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4062,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Aphanothece,,nidulans,,,,,Colonial-Nonmotile,Vegetative,NU/ml,254.0771,0.004772,254716.2406,0.08908404,778441.7294,0.13032725,2508.656,0.00056616,0,0,2250.3866,0.03948095,0.00250866,0.00056616,Aphanothece smithii,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,4321,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Chroococcaceae,,,Synechococcus,,elongatus,,,,,Cell-Nonmotile,Vegetative,NU/ml,47851.1938,0.89872746,332029.8632,0.11612358,66814.6218,0.01118615,66814.6218,0.01507892,0,0,47851.1938,0.83950489,0.06681462,0.01507892,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,7130,.,Monera,Freshwater,,Miscellaneous,,,,,,,,,,,,,,,Cell-Nonmotile,Vegetative,NU/ml,56.4616,0.00106045,10914.3576,0.00381717,12771.3114,0.00213818,12771.3114,0.00288227,0,0,56.4616,0.00099057,0.01277131,0.00288227,,
200039-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,4/30/19,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,8491,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Scourfieldia,,cordiformis,,,,,Cell-Nonmotile,Vegetative,NU/ml,28.2308,0.00053022,2205.4291,0.00077132,1832.9492,0.00030687,1832.9492,0.00041367,0,0,28.2308,0.00049528,0.00183295,0.00041367,,
200040-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/7/20,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1000080,.,Algae,Freshwater,,Cyanobacteria,Cyanophyceae,,Chroococcales,,Synechococcaceae,,,Cyanodictyon,,planctonicum,,,,,Colonial-Nonmotile,Vegetative,NU/ml,63.5193,0.00084387,14946.4368,0.00074859,21285.5152,0.00007541,133.0348,0.00010786,0,0,1016.3085,0.00650416,0.00013303,0.00010786,,
200040-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/7/20,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,1652,.,Algae,Freshwater,,Chrysophyta,Chrysophyceae,,,,,,,,,,,,,,Cell-Motile,Vegetative,NU/ml,1079.8278,0.01434575,40487.0644,0.00202778,23860.0916,0.00008453,23860.0916,0.01934565,0,0,1079.8278,0.00691067,0.02386009,0.01934565,,
200040-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/7/20,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2080,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlamydomonas,,,,,,,Cell-Motile,Vegetative,NU/ml,666.9525,0.00886061,95492.9888,0.00478272,107713.5591,0.00038158,107713.5591,0.08733365,0,0,666.9525,0.00426835,0.10771356,0.08733365,,
200040-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/7/20,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2110,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Volvocales,,Chlamydomonadaceae,,,Chlorogonium,,,,,,,Cell-Nonmotile,Vegetative,NU/ml,317.5964,0.00421934,299327.574,0.01499169,798206.8535,0.00282772,798206.8535,0.64718238,0,0,317.5964,0.00203255,0.79820685,0.64718239,,
200040-062,62,1,SSB,Sparkling Lake,"Pump, HP, 0-bott.",1,1/7/20,5/26/20,Phytoplankton - Grab,Hypsometric Pool,,0,,Yes,Species,,2363,.,Algae,Freshwater,,Chlorophyta,Chlorophyceae,,Chlorococcales,,Oocystaceae,,,Oocystis,,parva,,,,,Colonial-Nonmotile,Vegetative,NU/ml,31.7596,0.00042193,5265.5295,0.00026372,5986.5528,0.00002121,5986.5528,0.00485387,0,0,31.7596,0.00020325,0.00598655,0.00485387,,
