"sample_id","sample_date","division","class_","order_","family","genus","species","coloniality","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"SSB",2020-01-07,"Miscellaneous",NA,NA,NA,NA,NA,"Cell-Nonmotile",25542.6221,0.02070984,1,2020
"SSB",2020-01-31,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Motile",36491.9047,0.03119416,1,2020
"SSB",2020-01-31,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas",NA,"Cell-Motile",120192.1796,0.10274318,1,2020
"SSB",2020-01-31,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlorogonium",NA,"Cell-Nonmotile",727070.6611,0.62151757,1,2020
"SSB",2020-01-31,"Chlorophyta","Chlorophyceae","Chlorococcales","Oocystaceae","Oocystis","parva","Colonial-Nonmotile",8514.2074,0.00727815,1,2020
"SSB",2020-01-31,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae","Schroederia","judayi","Cell-Nonmotile",2527.6546,0.0021607,1,2020
"SSB",2020-01-31,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae",NA,NA,"Cell-Nonmotile",13192.5868,0.01127734,1,2020
"SSB",2020-01-31,"Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","erosa","Cell-Motile",3083.8468,0.00263615,1,2020
"SSB",2020-01-31,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","elachista","Colonial-Nonmotile",115615.323,0.09883077,1,2020
"SSB",2020-01-31,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanothece","nidulans","Colonial-Nonmotile",354.7594,0.00030326,1,2020
"SSB",2020-01-31,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechocystis",NA,"Cell-Nonmotile",74.83,6.397e-05,1,2020
"SSB",2020-01-31,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechococcus","elongatus","Cell-Nonmotile",20842.6143,0.01781677,1,2020
"SSB",2020-01-31,"Euglenophyta","Euglenophyceae","Euglenales","Euglenaceae","Euglena",NA,"Cell-Motile",101815.7163,0.08703453,1,2020
"SSB",2020-01-31,"Pyrrhophyta","Dinophyceae","Gymnodinales","Gymnodiniaceae","Gymnodinium","sp. 2","Cell-Motile",12771.31,0.01091722,1,2020
"SSB",2020-01-31,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Scourfieldia","cordiformis","Cell-Nonmotile",7283.6356,0.00622623,1,2020
"SSB",2020-02-14,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Motile",137520.9326,0.04458647,2,2020
"SSB",2020-02-14,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas",NA,"Cell-Motile",499619.3871,0.16198454,2,2020
"SSB",2020-02-14,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlorogonium",NA,"Cell-Nonmotile",2322994.876,0.75315181,2,2020
"SSB",2020-02-14,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae","Schroederia","judayi","Cell-Nonmotile",319.2818,0.00010352,2,2020
"SSB",2020-02-14,"Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","erosa","Cell-Motile",1027.9489,0.00033328,2,2020
"SSB",2020-02-14,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","elachista","Colonial-Nonmotile",92295.8536,0.02992378,2,2020
"SSB",2020-02-14,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanothece","nidulans","Colonial-Nonmotile",798.2066,0.00025879,2,2020
"SSB",2020-02-14,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechococcus","elongatus","Cell-Nonmotile",15908.3093,0.00515773,2,2020
"SSB",2020-02-14,"Cyanophyta","Cyanophyceae","Nostocales","Nostocaceae","Pseudanabaena",NA,"Filament",2305.9363,0.00074762,2,2020
"SSB",2020-02-14,"Euglenophyta","Euglenophyceae","Euglenales","Euglenaceae","Euglena",NA,"Cell-Motile",11574.0011,0.00375247,2,2020
"SSB",2020-03-06,"Cyanophyta","Cyanophyceae","Chroococcales","Synechococcaceae","Cyanodictyon","planctonicum","Colonial-Nonmotile",36.0303,2.262e-05,3,2020
"SSB",2020-03-06,"Chrysophyta","Chrysophyceae","Ochromonadales","Synuraceae","Mallomonas",NA,"Cell-Motile",14190.3435,0.00891034,3,2020
"SSB",2020-03-06,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas",NA,"Cell-Motile",178267.9846,0.11193731,3,2020
"SSB",2020-03-06,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlorogonium",NA,"Cell-Nonmotile",1321608.843,0.82985929,3,2020
"SSB",2020-03-06,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae","Schroederia","judayi","Cell-Nonmotile",1257.1737,0.0007894,3,2020
"SSB",2020-03-06,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","elachista","Colonial-Nonmotile",38248.4564,0.02401682,3,2020
"SSB",2020-03-06,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","delicatissima","Colonial-Nonmotile",177.3797,0.00011138,3,2020
"SSB",2020-03-06,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanothece","nidulans","Colonial-Nonmotile",310.4145,0.00019491,3,2020
"SSB",2020-03-06,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Chroococcus","minutus","Colonial-Nonmotile",487.7921,0.00030629,3,2020
"SSB",2020-03-06,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechococcus","elongatus","Cell-Nonmotile",17460.8159,0.01096393,3,2020
"SSB",2020-03-06,"Euglenophyta","Euglenophyceae","Euglenales","Euglenaceae","Euglena",NA,"Cell-Motile",11574.0011,0.0072675,3,2020
"SSB",2020-03-06,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Scourfieldia","cordiformis","Cell-Nonmotile",8950.5616,0.0056202,3,2020
"SSB",2020-05-05,"Cyanophyta","Cyanophyceae","Chroococcales","Synechococcaceae","Cyanodictyon","planctonicum","Colonial-Nonmotile",399.1044,2.812e-05,5,2020
"SSB",2020-05-05,"Chlorophyta","Prasinophyceae","Prasinocladales","Pedinomonadaceae","Monomastix","minuta","Cell-Motile",498.8805,3.516e-05,5,2020
"SSB",2020-05-05,"Pyrrhophyta","Dinophyceae","Peridinales","Peridinaceae","Durinskia",NA,"Cell-Motile",12849.3617,0.00090548,5,2020
"SSB",2020-05-05,"Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionella","formosa","Colonial-Nonmotile",508.8713,3.586e-05,5,2020
"SSB",2020-05-05,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","cryptocephala","Cell-Motile",1445.5532,0.00010187,5,2020
"SSB",2020-05-05,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Motile",96539.5187,0.00680304,5,2020
"SSB",2020-05-05,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Nonmotile",13029.3994,0.00091817,5,2020
"SSB",2020-05-05,"Haptophyta","Prymnesiophyceae","Prymnesiales","Chromulinaceae","Chrysochromulina","parva","Cell-Motile",640.34,4.512e-05,5,2020
"SSB",2020-05-05,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas",NA,"Cell-Motile",217280.2975,0.01531152,5,2020
"SSB",2020-05-05,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlorogonium",NA,"Cell-Nonmotile",13609568.83,0.95905258,5,2020
"SSB",2020-05-05,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae","Schroederia","judayi","Cell-Nonmotile",6784.7742,0.00047812,5,2020
"SSB",2020-05-05,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae",NA,NA,"Cell-Nonmotile",1008.8429,7.109e-05,5,2020
"SSB",2020-05-05,"Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","erosa","Cell-Motile",45143.0322,0.00318118,5,2020
"SSB",2020-05-05,"Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Rhodomonas","minuta","Cell-Motile",709.5168,5e-05,5,2020
"SSB",2020-05-05,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","elachista","Colonial-Nonmotile",119139.9033,0.00839567,5,2020
"SSB",2020-05-05,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanothece","nidulans","Colonial-Nonmotile",88.6899,6.25e-06,5,2020
"SSB",2020-05-05,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechococcus","elongatus","Cell-Nonmotile",20370.9519,0.00143552,5,2020
"SSB",2020-05-05,"Cyanophyta","Cyanophyceae","Nostocales","Nostocaceae","Pseudanabaena",NA,"Filament",3492.1632,0.00024609,5,2020
"SSB",2020-05-05,"Euglenophyta","Euglenophyceae","Euglenales","Euglenaceae","Euglena",NA,"Cell-Motile",22449.5675,0.001582,5,2020
"SSB",2020-05-05,"Miscellaneous",NA,NA,NA,NA,NA,"Cell-Nonmotile",17028.4147,0.00119998,5,2020
"SSB",2020-05-05,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Scourfieldia","cordiformis","Cell-Nonmotile",1662.9306,0.00011719,5,2020
