"sample_id","sample_date","division","class_","order_","family","genus","species","coloniality","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"TB",2020-03-07,"Bacillariophyta","Fragilariophyceae","Tabellariales","Tabellariaceae","Tabellaria","flocculosa","Complex-Filament",18307.1047,0.05014755,3,2020
"TB",2020-03-07,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Motile",42956.2622,0.11766751,3,2020
"TB",2020-03-07,"Chrysophyta","Chrysophyceae",NA,NA,NA,NA,"Cell-Nonmotile",50580.4382,0.13855196,3,2020
"TB",2020-03-07,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlamydomonas",NA,"Cell-Motile",48495.9692,0.1328421,3,2020
"TB",2020-03-07,"Chlorophyta","Chlorophyceae","Volvocales","Chlamydomonadaceae","Chlorogonium",NA,"Cell-Nonmotile",1634.7277,0.00447791,3,2020
"TB",2020-03-07,"Chlorophyta","Chlorophyceae","Chlorococcales","Oocystaceae","Oocystis","parva","Colonial-Nonmotile",681.1366,0.0018658,3,2020
"TB",2020-03-07,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae","Schroederia","judayi","Cell-Nonmotile",51.0851,0.00013993,3,2020
"TB",2020-03-07,"Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcaceae",NA,NA,"Cell-Nonmotile",620.8273,0.00170059,3,2020
"TB",2020-03-07,"Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae","Cryptomonas","erosa","Cell-Motile",164688.881,0.45112236,3,2020
"TB",2020-03-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","elachista","Colonial-Nonmotile",89.7985,0.00024598,3,2020
"TB",2020-03-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Aphanocapsa","delicatissima","Colonial-Nonmotile",24.8332,6.802e-05,3,2020
"TB",2020-03-07,"Cyanophyta","Cyanophyceae","Chroococcales","Chroococcaceae","Synechococcus","elongatus","Cell-Nonmotile",388.0241,0.00106289,3,2020
"TB",2020-03-07,"Euglenophyta","Euglenophyceae","Euglenales","Euglenaceae","Euglena",NA,"Cell-Motile",24418.7437,0.0668888,3,2020
"TB",2020-03-07,"Pyrrhophyta","Dinophyceae","Gymnodinales","Gymnodiniaceae","Gymnodinium","sp. 2","Cell-Motile",893.9917,0.00244886,3,2020
"TB",2020-03-07,"Miscellaneous",NA,NA,NA,NA,NA,"Cell-Nonmotile",383.1393,0.00104951,3,2020
"TB",2020-03-07,"Miscellaneous",NA,NA,NA,NA,NA,"Cell-Motile",85.1421,0.00023322,3,2020
"TB",2020-03-07,"Bacillariophyta","Bacillariophyceae","Eunotiales","Eunotiaceae","Actinella","punctata","Cell-Nonmotile",6024.1911,0.0165017,3,2020
