"sample_id","sample_date","division","total_biovolume_cubic_um_per_ml_","relative_total_biovolume","month","year"
"SSB",2020-05-05,"Chlorophyta",13609568.83,0.95905258,5,2020
"SSB",2020-05-05,"Chlorophyta",6784.7742,0.00047812,5,2020
"SSB",2020-05-05,"Chlorophyta",1008.8429,7.109e-05,5,2020
"SSB",2020-05-05,"Cryptophyta",45143.0322,0.00318118,5,2020
"SSB",2020-05-05,"Cryptophyta",709.5168,5e-05,5,2020
"SSB",2020-05-05,"Cyanobacteria",119139.9033,0.00839567,5,2020
"SSB",2020-05-05,"Cyanobacteria",88.6899,6.25e-06,5,2020
"SSB",2020-05-05,"Cyanobacteria",20370.9519,0.00143552,5,2020
"SSB",2020-05-05,"Cyanobacteria",3492.1632,0.00024609,5,2020
"SSB",2020-05-05,"Euglenophyta",22449.5675,0.001582,5,2020
"SSB",2020-05-05,"Miscellaneous",17028.4147,0.00119998,5,2020
"SSB",2020-05-05,"Chlorophyta",1662.9306,0.00011719,5,2020
"TB",2020-01-29,"Chlorophyta",1396.8624,0.0054267,1,2020
"TB",2020-01-29,"Chrysophyta",183.2949,0.00071209,1,2020
"TB",2020-01-29,"Chrysophyta",6178.5766,0.0240033,1,2020
"TB",2020-01-29,"Haptophyta",85.3787,0.00033169,1,2020
"TB",2020-01-29,"Chlorophyta",7072.735,0.02747703,1,2020
"TB",2020-01-29,"Chlorophyta",134.5124,0.00052257,1,2020
"TB",2020-01-29,"Cryptophyta",210265.4289,0.81686508,1,2020
"TB",2020-01-29,"Cryptophyta",266.069,0.00103366,1,2020
"TB",2020-01-29,"Cryptophyta",378.4089,0.00147009,1,2020
"TB",2020-01-29,"Cyanobacteria",219.5068,0.00085277,1,2020
"TB",2020-01-29,"Cyanobacteria",23.6506,9.188e-05,1,2020
"TB",2020-01-29,"Cyanobacteria",29.932,0.00011628,1,2020
"TB",2020-01-29,"Cyanobacteria",620.8375,0.00241191,1,2020
"TB",2020-01-29,"Euglenophyta",4635.5125,0.01800861,1,2020
"TB",2020-01-29,"Pyrrhophyta",24123.5851,0.09371828,1,2020
"TB",2020-01-29,"Pyrrhophyta",1702.8413,0.00661541,1,2020
"TB",2020-01-29,"Chlorophyta",88.202,0.00034266,1,2020
"TB",2020-02-15,"Chlorophyta",1044.6534,0.00696057,2,2020
"TB",2020-02-15,NA,14.3681,9.574e-05,2,2020
"TB",2020-02-15,"Chrysophyta",664.1082,0.00442498,2,2020
"TB",2020-02-15,"Chrysophyta",29750.8521,0.19823109,2,2020
"TB",2020-02-15,"Chlorophyta",11921.0055,0.07943013,2,2020
"TB",2020-02-15,"Chlorophyta",63.8567,0.00042548,2,2020
"TB",2020-02-15,"Cryptophyta",92438.7386,0.61592294,2,2020
"TB",2020-02-15,"Cryptophyta",56.7613,0.0003782,2,2020
"TB",2020-02-15,"Cyanobacteria",239.4619,0.00159554,2,2020
"TB",2020-02-15,"Cyanobacteria",14.1904,9.455e-05,2,2020
"TB",2020-02-15,"Cyanobacteria",42.5711,0.00028365,2,2020
"TB",2020-02-15,"Cyanobacteria",5.9864,3.989e-05,2,2020
"TB",2020-02-15,"Cyanobacteria",74.4995,0.00049639,2,2020
"TB",2020-02-15,"Euglenophyta",12396.6843,0.08259959,2,2020
"TB",2020-02-15,"Pyrrhophyta",1021.7048,0.00680766,2,2020
"TB",2020-02-15,"Miscellaneous",266.0689,0.00177283,2,2020
"TB",2020-02-15,"Chlorophyta",66.1515,0.00044077,2,2020
"TB",2020-03-07,"Chlorophyta",1479.3448,0.00405228,3,2020
"TB",2020-03-07,NA,29.2677,8.017e-05,3,2020
"TB",2020-03-07,"Bacillariophyta",3231.8612,0.00885284,3,2020
"TB",2020-03-07,"Bacillariophyta",18307.1047,0.05014755,3,2020
"TB",2020-03-07,"Chrysophyta",42956.2622,0.11766751,3,2020
"TB",2020-03-07,"Chrysophyta",50580.4382,0.13855196,3,2020
"TB",2020-03-07,"Chlorophyta",48495.9692,0.1328421,3,2020
"TB",2020-03-07,"Chlorophyta",1634.7277,0.00447791,3,2020
"TB",2020-03-07,"Chlorophyta",681.1366,0.0018658,3,2020
"TB",2020-03-07,"Chlorophyta",51.0851,0.00013993,3,2020
"TB",2020-03-07,"Chlorophyta",620.8273,0.00170059,3,2020
"TB",2020-03-07,"Cryptophyta",164688.881,0.45112236,3,2020
"TB",2020-03-07,"Cyanobacteria",89.7985,0.00024598,3,2020
"TB",2020-03-07,"Cyanobacteria",24.8332,6.802e-05,3,2020
"TB",2020-03-07,"Cyanobacteria",388.0241,0.00106289,3,2020
"TB",2020-03-07,"Euglenophyta",24418.7437,0.0668888,3,2020
"TB",2020-03-07,"Pyrrhophyta",893.9917,0.00244886,3,2020
"TB",2020-03-07,"Miscellaneous",383.1393,0.00104951,3,2020
"TB",2020-03-07,"Miscellaneous",85.1421,0.00023322,3,2020
"TB",2020-03-07,"Bacillariophyta",6024.1911,0.0165017,3,2020
