sample_id,sample_date,division,class_,order_,family,genus,species,coloniality,total_biovolume_cubic_um_per_ml_,relative_total_biovolume
SSB,2/16/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,56855.5773,0.18828187
SSB,2/16/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,946.0252,0.00313284
SSB,2/16/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,108645.0768,0.35978701
SSB,2/16/19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,NA,Filament,1649.6212,0.00546285
SSB,3/6/19,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,72326.1054,0.33171112
SSB,3/6/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,8540.2552,0.0391684
SSB,3/6/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,28806.3989,0.13211555
SSB,3/6/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,46305.9474,0.21237418
SSB,3/6/19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,limnetica,Filament,1396.8653,0.00640648
SSB,3/6/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,53213.9152,0.24405638
SSB,3/6/19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,NA,Filament,7449.9481,0.03416789
SSB,3/9/19,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,114127.5426,0.25316146
SSB,3/9/19,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Actinastrum,hantzschii,Cell-Nonmotile,3831.3922,0.00849892
SSB,3/9/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,8845.0433,0.01962037
SSB,3/9/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,252233.3671,0.55951233
SSB,3/9/19,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,9936.8397,0.02204222
SSB,3/9/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,26630.79,0.05907329
SSB,3/9/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,34505.8981,0.07654212
SSB,3/9/19,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,NA,Filament,698.4326,0.00154929
SSB,4/30/19,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,Cell-Motile,798.2087,0.00018014
SSB,4/30/19,Bacillariophyta,Fragilariophyceae,Tabellariales,Tabellariaceae,Tabellaria,flocculosa,Complex-Filament,300827.3278,0.0678916
SSB,4/30/19,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,158832.8655,0.03584587
SSB,4/30/19,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Nonmotile,53090.8063,0.01198169
SSB,4/30/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,62006.7343,0.01399386
SSB,4/30/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,3312579.554,0.74759271
SSB,4/30/19,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,2483.3047,0.00056044
SSB,4/30/19,Chlorophyta,Chlorophyceae,Ulotrichles,Ulotrichaceae,Ulothrix,NA,Filament,443448.2569,0.10007871
SSB,4/30/19,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,9460.229,0.00213501
SSB,4/30/19,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,Cell-Motile,946.0223,0.0002135
SSB,4/30/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,2594.1727,0.00058546
SSB,4/30/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,2508.656,0.00056616
SSB,4/30/19,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,66814.6218,0.01507892
SSB,4/30/19,Miscellaneous,NA,NA,NA,NA,NA,Cell-Nonmotile,12771.3114,0.00288227
SSB,4/30/19,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Scourfieldia,cordiformis,Cell-Nonmotile,1832.9492,0.00041367
SSB,1/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Cyanodictyon,planctonicum,Colonial-Nonmotile,133.0348,0.00010786
SSB,1/7/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,23860.0916,0.01934565
SSB,1/7/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,107713.5591,0.08733365
SSB,1/7/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,798206.8535,0.64718238
SSB,1/7/20,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Oocystis,parva,Colonial-Nonmotile,5986.5528,0.00485387
SSB,1/7/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,1197.3131,0.00097078
SSB,1/7/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,8314.6488,0.00674148
SSB,1/7/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,5653.7192,0.00458401
SSB,1/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,141650.588,0.11484963
SSB,1/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,1795.9696,0.00145616
SSB,1/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,NA,Cell-Nonmotile,56.1225,4.55E-05
SSB,1/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,92292.8841,0.07483064
SSB,1/7/20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,NA,Filament,1795.9696,0.00145616
SSB,1/7/20,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 2,Cell-Motile,19156.965,0.01553238
SSB,1/7/20,Miscellaneous,NA,NA,NA,NA,NA,Cell-Nonmotile,25542.6221,0.02070984
SSB,1/31/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,36491.9047,0.03119416
SSB,1/31/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,120192.1796,0.10274318
SSB,1/31/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,727070.6611,0.62151757
SSB,1/31/20,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Oocystis,parva,Colonial-Nonmotile,8514.2074,0.00727815
SSB,1/31/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,2527.6546,0.0021607
SSB,1/31/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,13192.5868,0.01127734
SSB,1/31/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,3083.8468,0.00263615
SSB,1/31/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,115615.323,0.09883077
SSB,1/31/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,354.7594,0.00030326
SSB,1/31/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,NA,Cell-Nonmotile,74.83,6.40E-05
SSB,1/31/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,20842.6143,0.01781677
SSB,1/31/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,101815.7163,0.08703453
SSB,1/31/20,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 2,Cell-Motile,12771.31,0.01091722
SSB,1/31/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Scourfieldia,cordiformis,Cell-Nonmotile,7283.6356,0.00622623
SSB,2/14/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,137520.9326,0.04458647
SSB,2/14/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,499619.3871,0.16198454
SSB,2/14/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,2322994.876,0.75315181
SSB,2/14/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,319.2818,0.00010352
SSB,2/14/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,1027.9489,0.00033328
SSB,2/14/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,92295.8536,0.02992378
SSB,2/14/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,798.2066,0.00025879
SSB,2/14/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,15908.3093,0.00515773
SSB,2/14/20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,NA,Filament,2305.9363,0.00074762
SSB,2/14/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,11574.0011,0.00375247
SSB,3/6/20,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Cyanodictyon,planctonicum,Colonial-Nonmotile,36.0303,2.26E-05
SSB,3/6/20,Chrysophyta,Chrysophyceae,Ochromonadales,Synuraceae,Mallomonas,NA,Cell-Motile,14190.3435,0.00891034
SSB,3/6/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,178267.9846,0.11193731
SSB,3/6/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,1321608.843,0.82985929
SSB,3/6/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,1257.1737,0.0007894
SSB,3/6/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,38248.4564,0.02401682
SSB,3/6/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,delicatissima,Colonial-Nonmotile,177.3797,0.00011138
SSB,3/6/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,310.4145,0.00019491
SSB,3/6/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,minutus,Colonial-Nonmotile,487.7921,0.00030629
SSB,3/6/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,17460.8159,0.01096393
SSB,3/6/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,11574.0011,0.0072675
SSB,3/6/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Scourfieldia,cordiformis,Cell-Nonmotile,8950.5616,0.0056202
SSB,5/5/20,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Cyanodictyon,planctonicum,Colonial-Nonmotile,399.1044,2.81E-05
SSB,5/5/20,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,Cell-Motile,498.8805,3.52E-05
SSB,5/5/20,Pyrrhophyta,Dinophyceae,Peridinales,Peridinaceae,Durinskia,NA,Cell-Motile,12849.3617,0.00090548
SSB,5/5/20,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,formosa,Colonial-Nonmotile,508.8713,3.59E-05
SSB,5/5/20,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,cryptocephala,Cell-Motile,1445.5532,0.00010187
SSB,5/5/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,96539.5187,0.00680304
SSB,5/5/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Nonmotile,13029.3994,0.00091817
SSB,5/5/20,Haptophyta,Prymnesiophyceae,Prymnesiales,Chromulinaceae,Chrysochromulina,parva,Cell-Motile,640.34,4.51E-05
SSB,5/5/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,217280.2975,0.01531152
SSB,5/5/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,13609568.83,0.95905258
SSB,5/5/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,6784.7742,0.00047812
SSB,5/5/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,1008.8429,7.11E-05
SSB,5/5/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,45143.0322,0.00318118
SSB,5/5/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,Cell-Motile,709.5168,5.00E-05
SSB,5/5/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,119139.9033,0.00839567
SSB,5/5/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,88.6899,6.25E-06
SSB,5/5/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,20370.9519,0.00143552
SSB,5/5/20,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Pseudanabaena,NA,Filament,3492.1632,0.00024609
SSB,5/5/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,22449.5675,0.001582
SSB,5/5/20,Miscellaneous,NA,NA,NA,NA,NA,Cell-Nonmotile,17028.4147,0.00119998
SSB,5/5/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Scourfieldia,cordiformis,Cell-Nonmotile,1662.9306,0.00011719
TB,1/29/20,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,Cell-Motile,1396.8624,0.0054267
TB,1/29/20,Chrysophyta,Chrysophyceae,Ochromonadales,Ochromonadaceae,Uroglena,NA,Colonial-Motile,183.2949,0.00071209
TB,1/29/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,6178.5766,0.0240033
TB,1/29/20,Haptophyta,Prymnesiophyceae,Prymnesiales,Chromulinaceae,Chrysochromulina,parva,Cell-Motile,85.3787,0.00033169
TB,1/29/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,7072.735,0.02747703
TB,1/29/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,134.5124,0.00052257
TB,1/29/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,210265.4289,0.81686508
TB,1/29/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,Cell-Motile,266.069,0.00103366
TB,1/29/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,Cell-Motile,378.4089,0.00147009
TB,1/29/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,219.5068,0.00085277
TB,1/29/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,delicatissima,Colonial-Nonmotile,23.6506,9.19E-05
TB,1/29/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,NA,Cell-Nonmotile,29.932,0.00011628
TB,1/29/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,620.8375,0.00241191
TB,1/29/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,4635.5125,0.01800861
TB,1/29/20,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 1,Cell-Motile,24123.5851,0.09371828
TB,1/29/20,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 2,Cell-Motile,1702.8413,0.00661541
TB,1/29/20,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Monoraphidium,capricornutum,Cell-Nonmotile,88.202,0.00034266
TB,2/15/20,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,Cell-Motile,1044.6534,0.00696057
TB,2/15/20,NA,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,rubrum,Cell-Nonmotile,14.3681,9.57E-05
TB,2/15/20,Chrysophyta,Chrysophyceae,Ochromonadales,Synuraceae,Synura,NA,Colonial-Motile,664.1082,0.00442498
TB,2/15/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,29750.8521,0.19823109
TB,2/15/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,11921.0055,0.07943013
TB,2/15/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,63.8567,0.00042548
TB,2/15/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,92438.7386,0.61592294
TB,2/15/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,Cell-Motile,56.7613,0.0003782
TB,2/15/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,239.4619,0.00159554
TB,2/15/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,delicatissima,Colonial-Nonmotile,14.1904,9.46E-05
TB,2/15/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanothece,nidulans,Colonial-Nonmotile,42.5711,0.00028365
TB,2/15/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,NA,Cell-Nonmotile,5.9864,3.99E-05
TB,2/15/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,74.4995,0.00049639
TB,2/15/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,12396.6843,0.08259959
TB,2/15/20,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 2,Cell-Motile,1021.7048,0.00680766
TB,2/15/20,Miscellaneous,NA,NA,NA,NA,NA,Cell-Nonmotile,266.0689,0.00177283
TB,2/15/20,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Monoraphidium,capricornutum,Cell-Nonmotile,66.1515,0.00044077
TB,3/7/20,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,Cell-Motile,1479.3448,0.00405228
TB,3/7/20,NA,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,rubrum,Cell-Nonmotile,29.2677,8.02E-05
TB,3/7/20,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,formosa,Colonial-Nonmotile,3231.8612,0.00885284
TB,3/7/20,Bacillariophyta,Fragilariophyceae,Tabellariales,Tabellariaceae,Tabellaria,flocculosa,Complex-Filament,18307.1047,0.05014755
TB,3/7/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Motile,42956.2622,0.11766751
TB,3/7/20,Chrysophyta,Chrysophyceae,NA,NA,NA,NA,Cell-Nonmotile,50580.4382,0.13855196
TB,3/7/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,Cell-Motile,48495.9692,0.1328421
TB,3/7/20,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlorogonium,NA,Cell-Nonmotile,1634.7277,0.00447791
TB,3/7/20,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Oocystis,parva,Colonial-Nonmotile,681.1366,0.0018658
TB,3/7/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Schroederia,judayi,Cell-Nonmotile,51.0851,0.00013993
TB,3/7/20,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,Cell-Nonmotile,620.8273,0.00170059
TB,3/7/20,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,Cell-Motile,164688.881,0.45112236
TB,3/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,Colonial-Nonmotile,89.7985,0.00024598
TB,3/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,delicatissima,Colonial-Nonmotile,24.8332,6.80E-05
TB,3/7/20,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,Cell-Nonmotile,388.0241,0.00106289
TB,3/7/20,Euglenophyta,Euglenophyceae,Euglenales,Euglenaceae,Euglena,NA,Cell-Motile,24418.7437,0.0668888
TB,3/7/20,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp. 2,Cell-Motile,893.9917,0.00244886
TB,3/7/20,Miscellaneous,NA,NA,NA,NA,NA,Cell-Nonmotile,383.1393,0.00104951
TB,3/7/20,Miscellaneous,NA,NA,NA,NA,NA,Cell-Motile,85.1421,0.00023322
TB,3/7/20,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Actinella,punctata,Cell-Nonmotile,6024.1911,0.0165017
